,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
count,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0,113550.0
mean,33.32413914575077,228079.36220167327,0.5670307151034787,0.6420903408824307,5.309467195068252,-8.243418705416117,0.6378599735799207,0.08467418758256276,0.3140669936451783,0.1557016303498899,0.21361146287978866,0.4742074930074856,122.17588750330252,3.9042184059885514
std,22.28397609446146,106414.78255370946,0.17340845184391565,0.25105223813389455,3.5601344693837897,5.011400798745099,0.48062112105196736,0.10576131523677734,0.33190679346456475,0.30921598075784823,0.19046143519884184,0.2592035708937174,29.972860959197618,0.4321152759250043
min,0.0,0.0,0.0,0.0,0.0,-49.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,17.0,174180.25,0.456,0.473,2.0,-9.99775,0.0,0.0359,0.0168,0.0,0.098,0.26,99.29650000000001,4.0
50%,35.0,213000.0,0.58,0.685,5.0,-6.997,1.0,0.0489,0.168,4.13e-05,0.132,0.464,122.02,4.0
75%,50.0,261587.75,0.695,0.854,8.0,-5.001,1.0,0.0845,0.596,0.048674999999999996,0.273,0.683,140.07375000000002,4.0
max,100.0,5237295.0,0.985,1.0,11.0,4.532,1.0,0.965,0.996,1.0,1.0,0.995,243.372,5.0
median,35.0,213000.0,0.58,0.685,5.0,-6.997,1.0,0.0489,0.168,4.13e-05,0.132,0.464,122.02,4.0
variance,496.5712173897094,11324006218.02772,0.0300702263493169,0.06302667121059982,12.674445819157214,25.113916793157813,0.23099462768454357,0.01118535729373672,0.1101611493839526,0.09561368070828141,0.036275238830294154,0.06718589947324716,898.3644823894405,0.1867219672702024
